authorName,hIndex
Isaac Balbin,2
Christine Parent,2
David Brill,2
Barron C. Housel,2
Jon Doyle,2
Licia Sbattella,2
Shamim A. Naqvi,2
Upen S. Chakravarthy,2
Peter Honeyman,2
Gerald Held,2
Weining Zhang,2
Darrell Woelk,2
Phyllis Reisner,2
Maarten H. van Emden,2
Daniel Sagalowicz,2
Daniel A. Menascé,2
Jean-Marie Nicolas 0001,2
Patricia P. Griffiths,2
P. L. Fehder,2
Edward B. Altman,2
Allen Otis,1
Alan Purdy,1
K. Bernhard Schiefer,1
Joseph Kalash,1
Val Tannen,1
Mary F. Fernández,1
Alin Deutsch,1
Dean Daniels,1
Pui Ng,1
Dennis R. McCarthy,1
Amit Shukla,1
Janet L. Wiener,1
Tim Sheard,1
Marvin C. Paull,1
Nancy D. Griffeth,1
Neil C. Rowe,1
Thomas A. Joseph,1
Renzo Sprugnoli,1
Shahid H. Bokhari,1
Injun Choi,1
Roger R. Schell,1
Mark R. Heckman,1
Ming-Yee Lai,1
Barbara Hayes-Roth,1
A. James Baroody Jr.,1
Alan Snyder,1
Wu-Haung Cheng,1
Duane Szafron,1
Sukho Lee,1
Lawrence Page,1
George A. Mihaila,1
Byron Dom,1
Michael Lesk,1
Robin Milner,1
Robert A. Di Paola,1
Mark E. Stickel,1
Gert Smolka,1
Thomas Ohler,1
Stephan Gschwind,1
Bruno Becker,1
Peter J. Haas,1
Arun N. Swami,1
Chee-Keng Yap,1
James Wu,1
John S. Schlipf,1
Du Zhang,1
Hung-Chang Du,1
John Shepherd,1
Richard M. Keller,1
Thomas L. Dean,1
Brian C. Williams,1
Les Gasser,1
David Poole 0001,1
Martin Davis,1
Terrence J. Sejnowski,1
Barry K. Rosen,1
Azad Bolour,1
Horst Biller,1
L. J. Dekeyser,1
A. Bolour,1
Graeme S. Port,1
Setrag Khoshafian,1
Katsumi Tanaka,1
Ashish Gupta 0001,1
Jung J. Kim,1
Susan Jones,1
Gennady Antoshenkov,1
Christof Hasse,1
Yale N. Patt,1
Shreekant S. Thakkar,1
Ning-San Chang,1
Robert K. Abbott,1
Elizabeth N. Fong,1
Jason McHugh,1
Stella Gatziu,1
Inderpal Singh Mumick,1
Alan Fekete,1
Janice I. Glasgow,1
William Equitz,1
Wayne Niblack,1
Harpreet S. Sawhney,1
Claude Delobel 0002,1
Yoshio Izumida,1
Hiroshi Ishikawa 0004,1
Akifumi Makinouchi,1
Albert Croker,1
Karel Culik II,1
Maria Zemankova,1
Jean H. Gallier,1
Walter D. Potter,1
Christine Froidevaux,1
Anthony J. Bonner,1
Robert Paige,1
Michael Merritt,1
Robert D. Franzosa,1
Vasilis Vassalos,1
Eric Simon,1
Robert B. Hagmann,1
Chun-Wu Roger Leng,1
Les L. Miller,1
Markus Schneider 0001,1
Paul G. Sorenson,1
Sivarama P. Dandamudi,1
Ian A. Macleod,1
Nicholas J. Belkin,1
Irene Gargantini,1
Jeffrey M. Bradshaw,1
Ian Sommerville,1
Peter J. Weinberger,1
Suzanne W. Dietrich,1
Eric Jul,1
Claudio L. Lucchesi,1
Wei Hong,1
Edward K. Lee 0001,1
Peter M. Chen,1
Vipul Kashyap,1
James W. Stamos,1
Derek C. Oppen,1
Jeff Conklin,1
Michael Schrefl,1
Michael N. Huhns,1
